CUSTOMER_ID,ORDER_NUMBER,MATERIAL_NUMBER
31,1,50
31,1,35
68,1,150
180,1,36
180,1,151
180,1,236
180,1,177
180,1,219
180,1,181
180,1,163
180,1,237
180,1,238
180,1,239
180,1,186
180,1,157
180,1,211
180,1,240
180,1,241
324,1,305
324,1,306
324,1,171
324,1,58
324,1,249
358,1,307
358,1,144
358,1,41
358,1,353
358,1,354
358,1,11
358,1,355
358,1,158
358,1,351
358,1,172
392,1,0
392,1,178
392,1,415
392,1,427
392,1,428
392,1,429
392,1,430
392,1,247
392,1,363
392,1,431
392,1,432
392,1,62
392,1,433
392,1,434
392,1,435
485,1,453
485,1,2
485,1,343
485,1,3
485,1,471
485,1,472
485,1,391
485,1,447
485,1,224
485,1,11
485,1,462
485,1,463
485,1,473
485,1,212
485,1,474
485,1,49
485,1,452
485,1,352
636,1,526
636,1,409
636,1,540
636,1,541
636,1,481
636,1,20
636,1,448
636,1,497
636,1,107
636,1,542
636,1,329
636,1,543
636,1,502
636,1,530
636,1,99
636,1,507
636,1,62
636,1,544
636,1,434
636,1,352
765,1,558
796,1,76
941,1,118
941,1,725
967,1,711
967,1,36
967,1,556
967,1,85
967,1,736
967,1,274
967,1,377
967,1,739
967,1,224
967,1,782
967,1,40
1015,1,547
1051,1,82
1051,1,123
1051,1,718
1133,1,862
1133,1,874
1133,1,290
1133,1,875
1133,1,876
1133,1,858
1133,1,877
1133,1,834
1133,1,382
1133,1,62
1133,1,878
1133,1,9
1163,1,0
1163,1,872
1163,1,923
1163,1,69
1163,1,495
1163,1,918
1163,1,11
1163,1,22
1163,1,746
1517,1,596
1517,1,950
1517,1,180
1517,1,934
1517,1,951
1570,1,795
1570,1,290
1570,1,540
1570,1,952
1570,1,343
1570,1,574
1570,1,274
1570,1,377
1570,1,963
1570,1,956
1570,1,973
1570,1,499
1570,1,11
1570,1,854
1570,1,431
1570,1,367
1570,1,968
1570,1,62
1570,1,910
1570,1,1001
1570,1,1002
1570,1,979
1570,1,172
1570,1,970
1965,1,307
1965,1,144
1965,1,1021
1965,1,1016
1965,1,1022
1965,1,1017
1965,1,223
1965,1,11
1965,1,138
1965,1,847
1965,1,530
1965,1,1012
1965,1,382
1965,1,383
1965,1,136
1965,1,339
1965,1,402
1965,1,968
1965,1,1010
2096,1,761
2096,1,1038
2096,1,1050
2163,1,884
2163,1,233
2163,1,952
2163,1,422
2163,1,633
2163,1,16
2163,1,1095
2163,1,11
2163,1,1076
2163,1,1063
2163,1,367
2163,1,1096
2163,1,1049
2163,1,433
2163,1,1097
2187,1,640
2187,1,286
2187,1,677
2187,1,688
2187,1,116
2187,1,393
2187,1,1028
2187,1,168
2187,1,523
2187,1,1120
2187,1,348
2187,1,1103
2237,1,41
2237,1,410
2237,1,831
2237,1,1146
2237,1,154
2237,1,1127
2237,1,469
2237,1,11
2237,1,19
2237,1,1147
2286,1,99
2336,1,1167
2336,1,255
2336,1,892
2336,1,1168
2452,1,1217
2452,1,409
2452,1,219
2452,1,343
2452,1,182
2452,1,537
2452,1,11
2452,1,816
2452,1,77
2452,1,1218
2452,1,368
2452,1,19
2492,1,1273
2561,1,1295
2600,1,1317
2600,1,144
2600,1,1137
2600,1,1300
2600,1,1308
2600,1,782
2600,1,1315
2600,1,352
2613,1,564
2613,1,663
2613,1,136
2613,1,1334
2613,1,228
2613,1,820
2640,1,1373
2640,1,540
2640,1,1357
2640,1,1374
2640,1,1367
2640,1,1171
2640,1,224
2640,1,311
2640,1,816
2640,1,1375
2648,1,144
2648,1,1387
2648,1,270
2648,1,1388
2648,1,94
2648,1,108
2648,1,429
2648,1,95
2648,1,1377
2648,1,6
2648,1,1384
2648,1,158
2648,1,1389
2648,1,173
2973,1,787
2974,1,1454
2974,1,1402
2974,1,1504
2974,1,883
2974,1,161
2974,1,1455
2974,1,1380
2974,1,1481
2974,1,152
2974,1,356
2974,1,1465
2974,1,47
2974,1,1182
2974,1,15
